hotel_id,address,hotel_facilities,hotel_star_rating,rating,pageurl,room_count,no_per_room,room_type,similar_hotel,path ref id,cost
59,"Akshara guest house 71,gangaur ghat,near bagore ki haveli museum Udaipur, rajasthan, 313001 Udaipur, India – Show map","Bathroom:Toilet paper|Towels|Bath or Shower|Slippers|Bathroom|Bath|Shower•View:City view|Landmark view|Mountain view|Lake view|View•Outdoors:Sun terrace|Balcony|Terrace•Pets:Pets are not allowed.•Living Area:Seating Area|Desk•Media & Technology:Flat-screen TV|Satellite Channels|Video|Telephone|TV•Food & Drink:Special diet menus (on request)|Breakfast in the room|Restaurant•Internet:Free!
WiFi is available in the hotel rooms and is free of charge.•Parking:No parking available.•Services:Trouser press|Ticket service|Tour desk|Packed lunches|Ironing service|Dry cleaning|Laundry|24-hour front desk|Room service•General:Mini-market on site|Allergy-free room|Tile/Marble floor|Private entrance|Fan|Non-smoking rooms|Air Conditioning",1,3,http://www.booking.com/hotel/in/akshara-guest-house.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=01&checkin_year_month=2016-12&checkout_monthday=02&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,14,4,Small Double Room,Udai Haveli Guest House|Hotel Lake Paradise|Moustache Udaipur,11,6000
60,"Durag Niwas Guesthouse,, 342001 Jodhpur, India – Show map","Bathroom:Toilet paper|Linen|Towels|Towels/Sheets (extra fee)|Bath or Shower|Bathroom|Toilet|Shower•View:Garden view•Outdoors:Sun terrace|Terrace•Kitchen:Shared kitchen|Cleaning products•Pets:Free!
Pets are allowed on request. No extra charges.•Activities:Library|Children's playground|Massage•Living Area:Seating Area|Desk•Food & Drink:Special diet menus (on request)|Restaurant (à la carte)|Breakfast in the room|Restaurant•Internet:Free!
WiFi is available in public areas and is free of charge.•Parking:Free!
Free public parking is possible on site (reservation is not needed).•Reception services:Concierge service|Luggage storage|Ticket service|Tour desk|Currency exchange|24-hour front desk•Entertainment and family services:Babysitting/child services•Cleaning services:Daily maid service|Trouser press|Shoeshine|Ironing service|Dry cleaning|Laundry•Business facilities:Fax/photocopying•General:Grocery deliveries|Shared lounge/TV area|Airport shuttle (surcharge)|Designated smoking area|Air conditioning|Mosquito net|Wake-up service|Tile/Marble floor|Private entrance|Car hire|Packed lunches|Chapel/shrine|Fan|Ironing Facilities|Trouser Press|Non-smoking rooms|Newspapers|Wake Up Service/Alarm Clock|Room service•Languages spoken:",1,6,http://www.booking.com/hotel/in/durag-niwas-guest-house.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=03&checkin_year_month=2016-12&checkout_monthday=04&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,17,6,Superior Double Room,Kesar Heritage Guest House,12,2500
61,"Kamyakam, Arthunkal, 688530 Mararikulam, India – Show map","Bathroom:Toilet paper|Linen|Towels|Bidet|Towels/Sheets (extra fee)|Slippers|Bathroom|Toilet|Free toiletries|Bathrobe|Hairdryer|Bath|Shower•Bedroom:Wardrobe/Closet|Alarm clock•View:City view|Landmark view|Garden view|View•Outdoors:Outdoor dining area|Outdoor furniture|Patio|Terrace|Garden•Kitchen:Shared kitchen|Cleaning products|Electric kettle•Room Amenities:Drying rack for clothing|Clothes rack•Pets:Pets are not allowed.•Activities:Cycling|Canoeing|Bicycle rental|Children's playground|Fishing•Living Area:Seating Area•Media & Technology:Flat-screen TV|Cable Channels|Satellite Channels|Video|CD Player|DVD Player|Telephone|TV•Food & Drink:Kid meals|Breakfast in the room•Internet:Free!
WiFi is available in the hotel rooms and is free of charge.•Parking:Free!
Free private parking is possible on site (reservation is not needed).•Services:Shared lounge/TV area|Lockers•Reception services:Luggage storage|Tour desk|Express check-in/check-out|24-hour front desk•Entertainment and family services:Children television networks|Baby safety gates|Indoor play area|Board games/puzzles|Baby safety gates|Board games/puzzles|Child safety socket covers•Cleaning services:Daily maid service|Ironing service|Laundry•Business facilities:Fax/photocopying•General:Air conditioning|Mosquito net|Wake-up service|Tile/Marble floor|Soundproofing|Private entrance|Car hire|Chapel/shrine|Soundproof rooms|Fan|Family rooms|Ironing Facilities|Non-smoking rooms|Iron|Newspapers|Wake Up Service/Alarm Clock|Safety Deposit Box|Room service•Languages spoken:",1,1,http://www.booking.com/hotel/in/cassia-mansion.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=01&checkin_year_month=2016-12&checkout_monthday=02&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,23,4,Deluxe Double or Twin Room,Raheem Residency,14,3500
62,"Hee Bermiok Bazaar, Kaluk, District---Geyzing, 737113 Rinchingpong, India – Show map","Bathroom:Linen|Towels•Outdoors:Balcony•Room Amenities:Clothes rack•Pets:Pets are not allowed.•Media & Technology:Satellite Channels|TV•Food & Drink:Special diet menus (on request)|Restaurant (à la carte)•Internet:No internet access available.•Parking:Free!
Free private parking is possible on site (reservation is not needed).•Services:Daily maid service|Ticket service|Tour desk|Car hire|Room service•General:Private entrance|Heating",1,2,http://www.booking.com/hotel/in/silent-valley.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=05&checkin_year_month=2016-12&checkout_monthday=06&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,9,3,Double Room,Hotel Norling,15,5000
63,"Kovalam Road, 603104 Mahabalipuram, India – Show map","Bathroom:Toilet paper|Linen|Towels|Towels/Sheets (extra fee)|Bathroom|Toilet|Shower•View:View•Outdoors:Terrace•Room Amenities:Clothes rack•Pets:Pets are allowed on request. Charges may be applicable.•Media & Technology:Flat-screen TV|Cable Channels•Internet:Free!
WiFi is available in all areas and is free of charge.•Parking:Free!
Free private parking is possible on site (reservation is needed).•Services:Daily maid service|Ironing service|Dry cleaning|Laundry|Room service•General:Air conditioning|Mosquito net|Tile/Marble floor|Fan•Languages spoken:",5,3,http://www.booking.com/hotel/in/srinivasa-residency-mahabalipuram.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=16&checkin_year_month=2016-12&checkout_monthday=17&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,12,5,Deluxe Family Room,InterContinental Chennai Mahabalipuram Resort|Rajalakshmi Guesthouse|Silver Moon Guest House,16,4500
64,"A152, Road No.4, Near IGI Airport, Mahipalpur,, Mahipalpur, 110037 New Delhi, India – This neighbourhood is a great choice for travellers interested in history, food, and culture – Check location Show map","Bathroom:Toilet paper|Linen|Towels|Bathroom|Toilet|Free toiletries|Shower•Bedroom:Wardrobe/Closet|Extra Long Beds (> 2 metres)•View:City view•Room Amenities:Drying rack for clothing|Clothes rack•Pets:Pets are not allowed.•Living Area:Seating Area|Desk•Media & Technology:Flat-screen TV|Satellite Channels•Food & Drink:Breakfast in the room•Internet:Free!
WiFi is available in all areas and is free of charge.•Parking:Free!
Free public parking is possible on site (reservation is not needed).•Reception services:Private check-in/check-out|ATM/cash machine on site|Luggage storage|Ticket service|Tour desk|Currency exchange|24-hour front desk•Cleaning services:Daily maid service|Trouser press|Ironing service|Dry cleaning|Laundry•Business facilities:Fax/photocopying|Business centre•General:Shuttle service (surcharge)|Air conditioning|Mosquito net|Wake-up service|Tile/Marble floor|Car hire|Lift|Heating|Fan|Ironing Facilities|Non-smoking rooms|Iron|Newspapers|Room service•Languages spoken:",3,4,http://www.booking.com/hotel/in/airport-aerotech.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=05&checkin_year_month=2016-12&checkout_monthday=06&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,22,2,Standard Double Room,Hotel Airport Land|Airport Hotel Marina|Hotel The Raj,17,5500
65,"Kempegowda International Airport Road,Opp Reliance Petrol Pump,Near Decathlon,Chikkajala, 562157 Yelahanka, India – Great location -","Bathroom:Toilet paper|Linen|Towels|Towels/Sheets (extra fee)|Slippers|Bathroom|Toilet|Free toiletries|Hairdryer|Shower•Bedroom:Wardrobe/Closet•Kitchen:Electric kettle•Pets:Pets are not allowed.•Media & Technology:Flat-screen TV|Cable Channels|Telephone|TV•Food & Drink:Breakfast in the room•Internet:Free!
WiFi is available in all areas and is free of charge.•Parking:Free!
Free private parking is possible on site (reservation is not needed).•Reception services:Lockers|Luggage storage|Tour desk|Currency exchange|24-hour front desk•Cleaning services:Daily maid service|Trouser press|Shoeshine|Ironing service|Dry cleaning|Laundry•Business facilities:Fax/photocopying•General:Airport shuttle (surcharge)|Shuttle service (surcharge)|Air conditioning|Wake-up service|Tile/Marble floor|Car hire|Safety deposit box|Lift|Fan|Family rooms|Newspapers|Safety Deposit Box|Room service•Languages spoken:",3,5,http://www.booking.com/hotel/in/breeze-suites.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=03&checkin_year_month=2016-12&checkout_monthday=04&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,16,4,Standard Double Room,The Gateway Hotel Residency Road|Taj Bangalore,18,6000
66,"Plot no 118/119,A block ,Street No 3 Mahipalpur, Mahipalpur, 110037 New Delhi, India – This neighbourhood is a great choice for travellers interested in history, food, and culture – Check location Show map","Bathroom:Toilet paper|Towels|Bath or Shower|Bathroom|Toilet|Shower•Bedroom:Wardrobe/Closet•Pets:Pets are not allowed.•Living Area:Desk•Media & Technology:Flat-screen TV|Telephone•Internet:Free!
WiFi is available in public areas and is free of charge.•Parking:Free!
Free private parking is possible on site (reservation is not needed).•Services:Wake-up service|Fax/photocopying|Currency exchange|24-hour front desk|Meeting/banquet facilities•General:Air conditioning|Tile/Marble floor|Heating|Fan|Non-smoking rooms|Newspapers•Languages spoken:",1,6,http://www.booking.com/hotel/in/airport-sunrise-moon.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=03&checkin_year_month=2016-12&checkout_monthday=04&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,12,6,Deluxe Double Room (2 Adults + 1 Child),"Airport RTS Hotel|Pride Plaza Hotel, Aerocity New Delhi|Meditation Palace",19,2500
67,"Kempegowda International Airport Road,Opp Reliance Petrol Pump,Near Decathlon,Chikkajala, 562157 Yelahanka, India – Great location -","Bathroom:Toilet paper|Linen|Towels|Towels/Sheets (extra fee)|Slippers|Bathroom|Toilet|Free toiletries|Hairdryer|Shower•Bedroom:Wardrobe/Closet•Kitchen:Electric kettle•Pets:Pets are not allowed.•Media & Technology:Flat-screen TV|Cable Channels|Telephone|TV•Food & Drink:Breakfast in the room•Internet:Free!
WiFi is available in all areas and is free of charge.•Parking:Free!
Free private parking is possible on site (reservation is not needed).•Reception services:Lockers|Luggage storage|Tour desk|Currency exchange|24-hour front desk•Cleaning services:Daily maid service|Trouser press|Shoeshine|Ironing service|Dry cleaning|Laundry•Business facilities:Fax/photocopying•General:Airport shuttle (surcharge)|Shuttle service (surcharge)|Air conditioning|Wake-up service|Tile/Marble floor|Car hire|Safety deposit box|Lift|Fan|Family rooms|Newspapers|Safety Deposit Box|Room service•Languages spoken:",3,7,http://www.booking.com/hotel/in/breeze-suites.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=01&checkin_year_month=2016-12&checkout_monthday=02&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,16,4,Standard Double Room,The Gateway Hotel Residency Road|Taj Bangalore,20,3000
68,"Danika Residency, RV03-PH02, Grande Vanelim, Colva, Goa, India, 403708 Colva, India – Show map","Parking:Free!
Free private parking is possible on site (reservation is not needed).•Internet:Free!
WiFi is available in the hotel rooms and is free of charge.•Kitchen:Children's high chair|Dining table|Cleaning products|Stovetop|Oven|Electric kettle|Kitchen|Washing Machine|Microwave|Refrigerator•Bedroom:Wardrobe/Closet|Extra Long Beds (> 2 metres)•Bathroom:Shower|Walk in shower|Toilet paper|Linen|Additional bathroom|Additional Toilet|Bathroom|Toilet•Living Area:Dining area|Seating Area•Media & Technology:Flat-screen TV|Satellite Channels|DVD Player|TV|Video•Room Amenities:Mosquito net|Fan|Iron|Trash cans|Shallow end|Pool with a view|Drying rack for clothing|Fold-up bed|Clothes rack|Tile/Marble floor|Private entrance|Ironing Facilities•Pets:Pets are not allowed.•Accessibility:Upper floors accessible by stairs only•Outdoors:Outdoor dining area|Outdoor furniture|Outdoor pool (seasonal)|Patio|Balcony|Terrace|Garden•Pool and wellness:Shallow end|Pool with view•Building characteristics:Semi-detached•Transport:Car hire|Bicycle rental•Outdoor & View:Landmark view|Garden view|View•Entertainment and family services:Children television networks|Books, DVDs, music for children•Miscellaneous:Designated smoking area|Air conditioning|Non-smoking throughout|Facilities for disabled guests|Non-smoking rooms•Languages spoken:",1,9,http://www.booking.com/hotel/in/rainbow-rentals-danika-residency.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=05&checkin_year_month=2016-12&checkout_monthday=06&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,25,3,Deluxe Double Room with Bath,,22,5000
69,"76, Gangadheswarar Koil Street, Purasawalkam, 600084 Chennai, India – Great location -","Bathroom:Toilet paper|Linen|Towels|Towels/Sheets (extra fee)|Bathroom|Toilet|Free toiletries|Shower•Bedroom:Wardrobe/Closet•Room Amenities:Drying rack for clothing|Clothes rack•Pets:Pets are not allowed.•Living Area:Desk•Media & Technology:Flat-screen TV|Satellite Channels|Telephone|Pay-per-view Channels•Food & Drink:Snack bar|Restaurant (à la carte)|Breakfast in the room|Restaurant•Internet:Free!
WiFi is available in all areas and is free of charge.•Parking:Free!
Free private parking is possible on site (reservation is not needed).•Reception services:Lockers|Private check-in/check-out|Concierge service|Ticket service|Tour desk|Currency exchange|Express check-in/check-out|24-hour front desk•Cleaning services:Daily maid service|Trouser press|Ironing service|Dry cleaning|Laundry•Business facilities:Fax/photocopying|Business centre|Meeting/banquet facilities•General:Airport shuttle (surcharge)|Shuttle service (surcharge)|Hypoallergenic|Designated smoking area|Air conditioning|Wake-up service|Tile/Marble floor|Soundproofing|Car hire|Packed lunches|Soundproof rooms|Safety deposit box|Lift|VIP room facilities|Fan|Facilities for disabled guests|Non-smoking rooms|Newspapers|Room service•Languages spoken:",1,10,http://www.booking.com/hotel/in/raaj-bhaavan.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=03&checkin_year_month=2016-12&checkout_monthday=04&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,45,5,Budget Double or Twin Room,Hotel Pearl International|Central Guest house|The Mount City,23,4500
70,"B-89 Agrasen Nagar, Boring Choraha, Jhotwara Behind Hanuman Vatika Marriage Garden, 302012 Jaipur, India – Show map","Bathroom:Bath|Shower•Outdoors:Sun terrace|Terrace•Pets:Pets are not allowed.•Activities:Bikes available (free)|Massage•Food & Drink:Breakfast in the room•Internet:No internet access available.•Parking:Free!
Free public parking is possible at a location nearby (reservation is needed).•Services:Luggage storage|Ticket service|Tour desk|Packed lunches|Currency exchange|Babysitting/child services|Room service•General:Fan",1,1,http://www.booking.com/hotel/in/vaishnav-bhawan.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=17&checkin_year_month=2016-12&checkout_monthday=18&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,3,2,Double Room,Atithi Guest House,24,5500
71,"Harish Premises Co-op. Society, 205/206, S. V. Road, Opp Andheri Railway Station, Andheri West, 400058 Mumbai, India – Show map","Bathroom:Towels|Bathroom|Toilet|Free toiletries|Shower•Bedroom:Wardrobe/Closet•View:City view•Room Amenities:Clothes rack•Pets:Pets are not allowed.•Media & Technology:Cable Channels|Satellite Channels|TV•Internet:Free!
WiFi is available in the hotel rooms and is free of charge.•Parking:Free!
Free private parking is possible on site (reservation is not needed).•Reception services:Concierge service|ATM/cash machine on site|Luggage storage|Tour desk|Currency exchange|24-hour front desk•Cleaning services:Daily maid service|Trouser press|Shoeshine|Ironing service|Dry cleaning|Laundry•General:Airport shuttle (surcharge)|Designated smoking area|Air conditioning|Non-smoking throughout|Wake-up service|Lift|Fan|Ironing Facilities|Non-smoking rooms|Newspapers|Wake Up Service/Alarm Clock|Room service•Languages spoken:",1,5,http://www.booking.com/hotel/in/midtown.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=03&checkin_year_month=2016-12&checkout_monthday=04&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,24,4,Standard Double Room,Hotel Artus Inn|Residency Hotel Fort|Backpacker Panda Appetite,26,2500
72,"6, Vidya Nagar, seven hills, Jalna Road, 431005 Chikalthān, India – Show map","Bathroom:Linen|Towels|Towels/Sheets (extra fee)|Bathroom|Toilet•View:View•Outdoors:Terrace•Room Amenities:Drying rack for clothing|Clothes rack•Pets:Pets are not allowed.•Food & Drink:Snack bar|Restaurant (à la carte)|Breakfast in the room|Bar|Restaurant•Internet:Free!
WiFi is available in the hotel rooms and is free of charge.•Parking:Free!
Free private parking is possible on site (reservation is not needed).•Reception services:ATM/cash machine on site|Currency exchange|24-hour front desk•Cleaning services:Daily maid service|Trouser press|Shoeshine|Ironing service|Dry cleaning|Laundry•Business facilities:Business centre•General:Tile/Marble floor|Soundproofing|Car hire|Packed lunches|Newspapers|Room service•Languages spoken:",1,7,http://www.booking.com/hotel/in/angeethi.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=03&checkin_year_month=2016-12&checkout_monthday=04&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,27,6,Budget Double Room,Hotel Preetam Aurangabad,27,3000
73,"No.3, 4th Cross Road, 80 Feet Road, Green Leaf Layout, Behind Barista Coffee Bar Koramangala 4th Block, Karnataka 560095, Koramangala, 560034 Bangalore, India – This neighbourhood is a great choice for travellers interested in nightlife, pubs, and restaurants – Check location Show map","Bathroom:Toilet paper|Linen|Towels|Towels/Sheets (extra fee)|Slippers|Free toiletries|Bathrobe|Hairdryer|Shower•Bedroom:Wardrobe/Closet|Alarm clock|Dressing Room|Extra Long Beds (> 2 metres)•View:View•Outdoors:Balcony|Terrace|Garden•Kitchen:Cleaning products|Refrigerator•Room Amenities:Drying rack for clothing|Fold-up bed|Clothes rack•Pets:Free!
Pets are allowed. No extra charges.•Living Area:Fireplace|Seating Area|Desk•Media & Technology:Flat-screen TV|Satellite Channels|Telephone•Food & Drink:Breakfast in the room|Restaurant•Internet:Free!
WiFi is available in all areas and is free of charge.•Parking:Free!
Free private parking is possible on site (reservation is not needed).•Reception services:Private check-in/check-out|Concierge service|Luggage storage|Tour desk|Currency exchange|Express check-in/check-out|24-hour front desk•Entertainment and family services:Baby safety gates•Cleaning services:Daily maid service|Trouser press|Shoeshine|Ironing service|Dry cleaning|Laundry•Business facilities:Fax/photocopying•General:Electric blankets|Hypoallergenic|Air conditioning|Allergy-free room|Mosquito net|Wake-up service|Hardwood/Parquet floors|Tile/Marble floor|Soundproofing|Carpeted|Soundproof rooms|Lift|Heating|Fan|Ironing Facilities|Iron|Newspapers|Safety Deposit Box|Room service",2,9,http://www.booking.com/hotel/in/maple-green-suites.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=17&checkin_year_month=2016-12&checkout_monthday=18&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,20,4,Classic Premium Double Room,Treebo Golden Pearl Koramangala|Luxtay Suites,28,3500
74,"Ratheesh Bhavanam, Nenmeni, Munroe Island P.O, 691502 Munroe Island, India – Show map","Bathroom:Toilet paper|Towels|Free toiletries|Shower•Bedroom:Wardrobe/Closet•View:Riverview•Pets:Pets are allowed on request. Charges may be applicable.•Activities:Canoeing|Fishing•Living Area:Seating Area•Food & Drink:Breakfast in the room•Internet:No internet access available.•Parking:Free!
Free private parking is possible on site (reservation is not needed).•Services:Daily maid service•General:Mosquito net|Tile/Marble floor|Fan",1,8,http://www.booking.com/hotel/in/munroe-days-homestay.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=03&checkin_year_month=2016-12&checkout_monthday=04&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,6,3,Budget Double Room,Munroe Island Lake Resort,32,6000
75,"Kavanattinkara, 686563 Kumarakom, India – Show map","Bathroom:Toilet paper|Linen|Towels|Towels/Sheets (extra fee)|Free toiletries|Bath|Shower•Bedroom:Wardrobe/Closet|Extra Long Beds (> 2 metres)•View:Lake view•Kitchen:Dining table|Kitchen|Refrigerator•Room Amenities:Clothes rack•Pets:Free!
Pets are allowed on request. No extra charges.•Activities:Evening entertainment|Canoeing|Fishing•Living Area:Dining area|Seating Area•Media & Technology:TV•Food & Drink:Restaurant (buffet)•Internet:No internet access available.•Parking:Free!
Free private parking is possible on site (reservation is not needed).•Services:Private check-in/check-out|Car hire|24-hour front desk|Meeting/banquet facilities•Entertainment and family services:Books, DVDs or music for children•General:Designated smoking area|Air conditioning|Fan|Safety Deposit Box",1,10,http://www.booking.com/hotel/in/amrutham-houseboat-2.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=16&checkin_year_month=2016-12&checkout_monthday=17&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,2,5,Mobile Home,Mandala Beach House & Cottages,33,2500
76,"Dumri Kothi Campus, Besides Pushpvihar Apartment, Oppt. Big Bazaar lane , Exihibiton Road, 800001 Patna, India – Show map","Bathroom:Toilet paper|Linen|Towels|Towels/Sheets (extra fee)|Bath or Shower|Slippers|Bathroom|Toilet|Free toiletries|Bath|Shower•Bedroom:Wardrobe/Closet•Kitchen:Dining table•Room Amenities:Clothes rack•Pets:Pets are not allowed.•Living Area:Dining area•Media & Technology:Flat-screen TV|Cable Channels|Telephone|TV•Food & Drink:Breakfast in the room|Tea/Coffee Maker•Internet:Free!
WiFi is available in all areas and is free of charge.•Parking:Free!
Free private parking is possible on site (reservation is needed).•Services:Shared lounge/TV area|Wake-up service|Fax/photocopying|Car hire|Ironing service|Laundry|24-hour front desk|Meeting/banquet facilities|Room service•General:Air conditioning|Heating|Tile/Marble floor|Fan•Languages spoken:",1,3,http://www.booking.com/hotel/in/heritage-residency-patna.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=16&checkin_year_month=2016-12&checkout_monthday=17&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,30,2,Deluxe Double Room,Hotel Balaji,34,3000
